Pathways	Species	Taxonomic-Range
L-homophenylalanine biosynthesis	Anabaena sp. 90 // Nostoc punctiforme	Bacteria <bacteria>
nicotinate degradation I	Bordetella bronchiseptica // Pseudomonas fluorescens // Pseudomonas putida // Pseudomonas putida // Pseudomonas fluorescens // Pseudomonas fluorescens // Pseudomonas putida	Proteobacteria
stigma estolide biosynthesis	Petunia x hybrida	Solanaceae
superpathway of pterocarpan biosynthesis (via formononetin)	Cicer arietinum // Glycine max // Glycyrrhiza echinata // Glycyrrhiza glabra // Lotus japonicus // Medicago sativa // Medicago truncatula // Phaseolus vulgaris // Pisum sativum // Pueraria montana	Fabaceae
methyl-coenzyme M reduction to methane	Methanobacteria // Methanococci // Methanoculleus // Methanogenium // Methanomicrobia // Methanoplanus // Methanopyri // Methanosarcina // Methanosarcina barkeri // Methanosarcina thermophila // Methanospirillum // Methanothermobacter thermautotrophicus // Methanothermus	Euryarchaeota
L-citrulline biosynthesis	Bos taurus // Homo sapiens // Mus musculus // Rattus norvegicus	Mammalia
nicotine degradation III (VPP pathway)	Ochrobactrum rhizosphaerae // Shinella sp. HZN7 // Agrobacterium tumefaciens	Bacteria <bacteria>
sophorolipid biosynthesis	Pseudohyphozyma bogoriensis // Starmerella bombicola	Fungi
crocetin biosynthesis	Crocus sativus // Gardenia jasminoides // Plectranthus barbatus // Jacquinia angustifolia	Jacquinia // Lamiaceae // Rubiaceae // Iridaceae
dalcochinin biosynthesis	Dalbergia cochinchinensis	Fabaceae
superpathway of L-citrulline metabolism	Homo sapiens // Arabidopsis thaliana	Viridiplantae // Metazoa
nicotine degradation II (pyrrolidine pathway)	Pseudomonas putida // Pseudomonas sp. HZN6	Bacteria <bacteria>
diacylglycerol biosynthesis (PUFA enrichment in oilseed)	Carthamus tinctorius // Arabidopsis thaliana	Spermatophyta
coumestrol biosynthesis	Vigna radiata	Fabaceae
methanogenesis from dimethylamine	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
protein citrullination	Bos taurus // Cavia porcellus // Gallus gallus // Homo sapiens // Mus musculus // Oryctolagus cuniculus // Ovis aries // Porphyromonas gingivalis // Rattus norvegicus	Bacteroidetes/Chlorobi group // Metazoa
nicotine degradation V	Homo sapiens	Mammalia
&beta;-D-mannosyl phosphomycoketide biosynthesis	Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
bixin biosynthesis	Bixa orellana	Magnoliopsida
vestitol and sativan biosynthesis	Medicago truncatula // Medicago sativa // Lotus japonicus	Embryophyta
nicotine degradation I (pyridine pathway)	Paenarthrobacter nicotinovorans // Nocardioides sp. JS614 // Rhodococcus opacus	Actinobacteria
dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	Mycobacterium tuberculosis variant bovis // Mycobacterium marinum // Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
calycosin 7-<i>O</i>-glucoside biosynthesis	Astragalus mongholicus	Fabaceae
methanogenesis from methanethiol	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
nicotine degradation IV	Homo sapiens	Mammalia
acyl-[acyl-carrier protein] thioesterase pathway	Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
neurosporaxanthin biosynthesis	Neurospora crassa	Opisthokonta
superpathway of pterocarpan biosynthesis (via daidzein)	Glycyrrhiza echinata // Cicer arietinum // Glycine max // Glycyrrhiza glabra // Lotus japonicus // Medicago sativa // Phaseolus vulgaris // Pueraria montana	Fabaceae
sulfoquinovose degradation VI	Alkalicoccus urumqiensis	Clostridia // Bacilli
mycobacterial sulfolipid biosynthesis	Mycobacterium tuberculosis	Mycobacteriaceae
superpathway of isoflavonoids (via naringenin)	Glycyrrhiza echinata // Cicer arietinum // Glycine max // Glycyrrhiza glabra // Lotus japonicus // Lupinus albus // Medicago sativa // Pueraria montana // Trifolium pratense	Fabaceae
superpathway of methanogenesis	Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanothermobacter thermautotrophicus	Euryarchaeota
tetrahydromethanopterin biosynthesis	Methanocaldococcus jannaschii // Methanosarcina mazei // Methanosarcina thermophila // Methanothermobacter marburgensis // Methanothermobacter thermautotrophicus // Methanothermobacter thermautotrophicus // Methanothermobacter thermautotrophicus // Methylorubrum extorquens	Methylobacteriaceae // Methanomicrobia // Methanobacteria // Methanococci
sulfoquinovose degradation II	Pseudomonas putida	Proteobacteria
epoxysqualene biosynthesis	Gemmata obscuriglobus // Homo sapiens // Methylococcus capsulatus // Methylosphaera hansonii // Nannocystis exedens // Panax ginseng // Panax notoginseng // Saccharomyces cerevisiae // Stigmatella aurantiaca // Zea mays // Arabidopsis thaliana	Archaea // Planctomycetes <Planctomycetes> // Proteobacteria // Eukaryota
L-alanine degradation III	Candida maltosa // Canis lupus // Homo sapiens // Rattus norvegicus	Eukaryota
6,7,4'-trihydroxyisoflavone biosynthesis	Glycyrrhiza echinata // Glycine max // Glycyrrhiza glabra // Trifolium pratense	Fabaceae
superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	Escherichia coli	Bacteria <bacteria>
sulfoquinovose degradation V	Clostridium sp. MSTE9	Thermotogae <class> // Spirochaetia // Tenericutes // Firmicutes
biotin-carboxyl carrier protein assembly	Aquifex aeolicus // Bacillus subtilis // Corynebacterium glutamicum // Escherichia coli // Mycobacterium leprae // Mycobacterium tuberculosis // Myxococcus xanthus // Nicotiana tabacum // Pisum sativum // Propionibacterium freudenreichii // Pseudomonas aeruginosa // Ricinus communis // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
dalpatein and dalnigrein biosynthesis	Dalbergia nigrescens	Fabaceae
methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>	Methanosarcina barkeri // Methanothermobacter thermautotrophicus // Methanothermus	Euryarchaeota
S-adenosyl-L-methionine biosynthesis	Escherichia coli // Helicobacter pylori // Saccharomyces cerevisiae // Arabidopsis thaliana	Viridiplantae // Fungi // Archaea // Bacteria <bacteria>
sulfoquinovose degradation I	Escherichia coli	Proteobacteria
dolichol and dolichyl phosphate biosynthesis	Homo sapiens // Saccharomyces cerevisiae // Schizosaccharomyces pombe	Eukaryota
L-alanine degradation IV	Phormidium lapideum // Bacillus cereus // Bacillus subtilis // Klebsiella aerogenes // Bilophila wadsworthia	Bacteria <bacteria> // Archaea
genistin gentiobioside biosynthesis	Catharanthus roseus	Magnoliopsida
<i>S</i>-adenosyl-L-methionine salvage I	Aliivibrio fischeri // Bacillus subtilis // Escherichia coli // Salmonella enterica	Archaea // Bacteria <bacteria>
sulfoquinovose degradation IV	Agrobacterium fabrum // Novosphingobium aromaticivorans // Rhizobium oryzae	Betaproteobacteria // Alphaproteobacteria
sulfoquinovosyl diacylglycerol biosynthesis	Cereibacter sphaeroides // Synechococcus elongatus // Arabidopsis thaliana	Bacteria <bacteria> // Stramenopiles // Rhodophyta // Viridiplantae
rotenoid biosynthesis II	Tephrosia vogelii	Fabaceae
methanogenesis from methylamine	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
<i>S</i>-adenosyl-L-methionine salvage II	Camellia sinensis // Catharanthus roseus // Lupinus luteus // Mycobacterium tuberculosis // Rattus norvegicus // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
sulfoquinovose degradation III	Enterococcus gilvus // Priestia megaterium // [Clostridium] symbiosum // [Eubacterium] rectale // Bacillus aryabhattai	Bacteria <bacteria>
phosphatidylcholine acyl editing	Carthamus tinctorius	Spermatophyta
L-alanine degradation I	Escherichia coli	Bacteria <bacteria>
rotenoid biosynthesis I	Amorpha fruticosa	Fabaceae
glycerophosphodiester degradation	Deinococcus radiodurans // Escherichia coli // Pseudomonas putida // Saccharomyces cerevisiae // Synechocystis	Archaea // Eukaryota // Bacteria <bacteria>
rot-2'-enonate biosynthesis	Derris elliptica // Amorpha fruticosa	Nyctaginaceae // Iridaceae // Fabaceae
superpathway of glycerol degradation to 1,3-propanediol	Citrobacter freundii // Clostridium butyricum // Clostridium pasteurianum // Klebsiella aerogenes // Klebsiella pneumoniae // Levilactobacillus brevis // Lentilactobacillus buchneri	Proteobacteria // Firmicutes
L-alanine degradation V (oxidative Stickland reaction)	Anaerotignum propionicum // Megasphaera elsdenii	Firmicutes
superpathway of betalain biosynthesis	Amanita muscaria // Celosia cristata // Cleretum bellidiforme // Mirabilis jalapa // Oxybasis rubra // Papaver somniferum // Portulaca grandiflora	Ranunculales // eudicotyledons // Fungi
glycerol degradation II	Citrobacter freundii // Klebsiella aerogenes // Klebsiella pneumoniae // Schizosaccharomyces pombe	Schizosaccharomyces // Bacteria <bacteria>
betacyanin biosynthesis	Amanita muscaria // Beta vulgaris // Celosia cristata // Cleretum bellidiforme // Mirabilis jalapa // Portulaca grandiflora	Fungi // Caryophyllales
glycerol degradation V	Escherichia coli	Eukaryota // Bacteria <bacteria>
L-alanine degradation II (to D-lactate)	Anaerotignum propionicum	Viridiplantae // Firmicutes
betaxanthin biosynthesis (via dopaxanthin)	Amanita muscaria	Fungi // Caryophyllales
glycerol degradation III	Citrobacter freundii // Clostridium butyricum // Clostridium pasteurianum // Klebsiella aerogenes // Klebsiella pneumoniae // Levilactobacillus brevis // Lentilactobacillus buchneri	Proteobacteria // Firmicutes
betacyanin biosynthesis (via dopamine)	Amanita muscaria	Fungi // Caryophyllales
glycerol and glycerophosphodiester degradation	Deinococcus radiodurans // Escherichia coli // Synechocystis	Bacteria <bacteria>
L-alanine degradation VI (reductive Stickland reaction)	Anaerotignum propionicum // Megasphaera elsdenii	Firmicutes
betalamic acid biosynthesis	Amanita muscaria // Beta vulgaris // Portulaca grandiflora	Fungi // Caryophyllales
galactolipid biosynthesis II	Synechococcus elongatus // Synechocystis sp. PCC 6803	Cyanobacteria
betaxanthin biosynthesis (via dopamine)	Caryophyllales	Fungi // Caryophyllales
glycolipid desaturation	Arabidopsis thaliana	Viridiplantae
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	Escherichia coli	Bacteria <bacteria>
betaxanthin biosynthesis	Caryophyllaceae	Fungi // Caryophyllales
rhamnolipid biosynthesis	Acinetobacter calcoaceticus // Burkholderia glumae // Burkholderia plantarii // Burkholderia pseudomallei // Burkholderia thailandensis // Enterobacter asburiae // Enterobacter hormaechei // Pantoea stewartii // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas alcaligenes // Pseudomonas chlororaphis // Pseudomonas clemancea // Pseudomonas collierea // Pseudomonas putida // Pseudomonas teessidea // Renibacterium salmoninarum // Tetragenococcus koreensis	Bacteria <bacteria>
ultra-long-chain fatty acid biosynthesis	Homo sapiens	Metazoa
amaranthin biosynthesis	Oxybasis rubra // Celosia cristata	Fungi // Caryophyllales
polyacyltrehalose biosynthesis	Mycobacterium tuberculosis	Corynebacteriales
mycolate biosynthesis	Mycobacterium tuberculosis	Mycobacteriaceae
5-aminoimidazole ribonucleotide biosynthesis II	Escherichia coli // Methanocaldococcus jannaschii	Archaea // Bacteria <bacteria>
L-ascorbate biosynthesis III (D-sorbitol pathway)	Ketogulonicigenium vulgare	Bacteria <bacteria>
glucosylglycerol biosynthesis	Synechocystis sp. PCC 6803	Cyanobacteria
very long chain fatty acid biosynthesis I	Brassica napus // Homo sapiens // Limnanthes alba // Saccharomyces cerevisiae // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
L-ascorbate biosynthesis VI (plants, <i>myo</i>-inositol pathway)	Solanum lycopersicum // Arabidopsis thaliana	Viridiplantae
galactolipid biosynthesis I	Arabidopsis thaliana	Viridiplantae
superpathway of fatty acids biosynthesis (<i>E. coli</i>)	Escherichia coli	Bacteria <bacteria>
5-aminoimidazole ribonucleotide biosynthesis I	Homo sapiens // Bacillus subtilis // Escherichia coli // Saccharomyces cerevisiae // Salmonella enterica // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)	Bos taurus // Capra hircus // Mesocricetus auratus // Mus musculus // Rattus norvegicus // Sus scrofa	Vertebrata <vertebrates>
&alpha;-diglucosyldiacylglycerol biosynthesis	Acholeplasma laidlawii // Enterococcus faecalis	Archaea // Bacteria <bacteria>
octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	Saccharomyces cerevisiae	Eukaryota
L-ascorbate biosynthesis VIII (engineered pathway)	Gluconobacter oxydans // Pantoea agglomerans // Pseudomonas fluorescens // Corynebacterium sp. SHS 0007	Bacteria <bacteria>
phosphatidylinositol mannoside biosynthesis	Mycobacterium leprae // Mycolicibacterium smegmatis // Mycobacterium tuberculosis // Mycobacterium tuberculosis	Corynebacteriales
tetradecanoate biosynthesis (mitochondria)	Homo sapiens	Eukaryota
8-amino-7-oxononanoate biosynthesis I	Mycobacterium tuberculosis // Candidatus Nitrososphaera gargensis Ga9.2 // Escherichia coli // Francisella tularensis // Haemophilus influenzae // Helicobacter pylori // Prochlorococcus marinus	Thaumarchaeota // Bacteria <bacteria>
L-ascorbate biosynthesis I (plants, L-galactose pathway)	Actinidia // Brassica oleracea // Oryza sativa // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae
L-dopa degradation I (mammalian)	Homo sapiens // Rattus norvegicus // Sus scrofa	Vertebrata <vertebrates>
fatty acid elongation -- saturated	Bacillus subtilis // Brassica napus // Escherichia coli // Spinacia oleracea // Streptococcus pneumoniae // Vibrio cholerae // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)	Euglena gracilis // Euglena gracilis Z	Euglena
L-dopa degradation II (bacterial)	Enterococcus faecalis // Eggerthella lenta	Bacteria <bacteria>
superpathway of mycolate biosynthesis	Mycobacterium tuberculosis	Mycobacteriaceae
8-amino-7-oxononanoate biosynthesis IV	Agrobacterium fabrum // Agrobacterium tumefaciens	Alphaproteobacteria
L-ascorbate biosynthesis VII (plants, D-galacturonate pathway)	Brassica oleracea // Fragaria x ananassa // Solanum lycopersicum // Arabidopsis thaliana	Viridiplantae
methanofuran biosynthesis	Archaeoglobus fulgidus // Methanobacteria // Methanobrevibacter // Methanocaldococcus fervens // Methanocaldococcus jannaschii // Methanococci // Methanoculleus // Methanogenium // Methanosarcina // Methanothermobacter thermautotrophicus // Methanothermus	Archaeoglobi // Methanopyri // Methanomicrobia // Methanococci // Methanobacteria
gallotannin biosynthesis	Rhus typhina	Saxifragales // asterids // rosids
fatty acid salvage	Pseudomonas aeruginosa	Bacteria <bacteria>
L-ascorbate biosynthesis II (plants, L-gulose pathway)	Oryza sativa // Solanum tuberosum // Arabidopsis thaliana	Viridiplantae
coenzyme B biosynthesis	Methanocaldococcus jannaschii // Methanococcus voltae // Methanosarcina thermophila	Methanopyri // Methanomicrobia // Methanococci // Methanobacteria
furaneol and mesifurane biosynthesis	Actinidia deliciosa // Ananas comosus // Fragaria x ananassa // Mangifera indica // Rubus idaeus // Solanum lycopersicum // Vitis labrusca x Vitis vinifera	Mesangiospermae
superpathway of fatty acid biosynthesis I (E. coli)	Escherichia coli	Bacteria <bacteria>
8-amino-7-oxononanoate biosynthesis II	Bacillus subtilis // Bacillus subtilis	Bacteria <bacteria>
maresin biosynthesis	Homo sapiens	Vertebrata <vertebrates>
mycofactocin biosynthesis	Mycobacterium avium // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycobacterium ulcerans // Mycolicibacterium smegmatis	Actinomycetia
(3<i>S</i>)-linalool biosynthesis	Clarkia breweri	Eukaryota
superpathway of fatty acid biosynthesis II (plant)	Persea americana // Pisum sativum // Brassica napus // Arabidopsis thaliana	Viridiplantae
15-<i>epi</i>-lipoxin biosynthesis	Homo sapiens	Mammalia
homofuraneol biosynthesis	Saccharomyces cerevisiae // Saccharomyces cerevisiae // Zygosaccharomyces rouxii	Fungi
very long chain fatty acid biosynthesis II	Brassica napus // Homo sapiens // Limnanthes alba // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
8-amino-7-oxononanoate biosynthesis III	Priestia megaterium // Bacillus subtilis // Bacillus subtilis // Lysinibacillus sphaericus // Methylobacillus flagellatus // Pseudomonas mendocina	Methanococcales // Bacteria <bacteria>
resolvin D biosynthesis	Homo sapiens	Mammalia
tea aroma glycosidic precursor bioactivation	Camellia sinensis // Camellia sinensis	Theaceae
sterculate biosynthesis	Sterculia foetida	Embryophyta
peptido-conjugates in tissue regeneration biosynthesis	Homo sapiens	Mammalia
